Dataenergy_production_total.csv
,
3
year,country,rate
1981,Azerbaijan,
1982,Azerbaijan,
1983,Azerbaijan,
1984,Azerbaijan,
1985,Azerbaijan,
1986,Azerbaijan,
1987,Azerbaijan,
1988,Azerbaijan,
1989,Azerbaijan,
1990,Azerbaijan,20600
1991,Azerbaijan,19000
1992,Azerbaijan,18200
1993,Azerbaijan,16400
1994,Azerbaijan,14900
1995,Azerbaijan,14700
1996,Azerbaijan,14400
1997,Azerbaijan,14100
1998,Azerbaijan,16300
1999,Azerbaijan,19000
2000,Azerbaijan,19000
2001,Azerbaijan,19600
2002,Azerbaijan,19800
2003,Azerbaijan,19800
2004,Azerbaijan,20100
2005,Azerbaijan,27200
2006,Azerbaijan,38100
2007,Azerbaijan,52100
2008,Azerbaijan,58600
2009,Azerbaijan,64600
1960,Bahrain,
1961,Bahrain,
1962,Bahrain,
1963,Bahrain,
1964,Bahrain,
1965,Bahrain,
1966,Bahrain,
1967,Bahrain,
1968,Bahrain,
1969,Bahrain,
1970,Bahrain,
1971,Bahrain,10700
1972,Bahrain,10100
1973,Bahrain,10800
1974,Bahrain,11500
1975,Bahrain,9960
1976,Bahrain,10300
1977,Bahrain,12000
1978,Bahrain,11700
1979,Bahrain,12100
1980,Bahrain,12000
1981,Bahrain,13000
1982,Bahrain,10600
1983,Bahrain,9910
1984,Bahrain,11100
1985,Bahrain,11100
1986,Bahrain,12600
1987,Bahrain,12900
1988,Bahrain,13200
1989,Bahrain,13400
1990,Bahrain,13400
1991,Bahrain,13000
1992,Bahrain,13500
1993,Bahrain,13900
1994,Bahrain,13600
1995,Bahrain,13700
1996,Bahrain,13900
1997,Bahrain,14300
1998,Bahrain,14700
1999,Bahrain,14500
2000,Bahrain,14900
2001,Bahrain,14900
2002,Bahrain,15300
2003,Bahrain,15600
2004,Bahrain,15800
2005,Bahrain,16100
2006,Bahrain,16500
2007,Bahrain,17000
2008,Bahrain,17500
2009,Bahrain,17600
1960,Bangladesh,
1961,Bangladesh,
1962,Bangladesh,
1963,Bangladesh,
1964,Bangladesh,
1965,Bangladesh,
1966,Bangladesh,
1967,Bangladesh,
1968,Bangladesh,
1969,Bangladesh,
1970,Bangladesh,
1971,Bangladesh,4850
1972,Bangladesh,5040
1973,Bangladesh,5340
1974,Bangladesh,5480
1975,Bangladesh,5460
1976,Bangladesh,5780
1977,Bangladesh,6020
1978,Bangladesh,6180
1979,Bangladesh,6400
1980,Bangladesh,6750
1981,Bangladesh,6880
1982,Bangladesh,7330
1983,Bangladesh,7780
1984,Bangladesh,7970
1985,Bangladesh,8420
1986,Bangladesh,8950
1987,Bangladesh,8780
1988,Bangladesh,9820
1989,Bangladesh,10200
1990,Bangladesh,10800
1991,Bangladesh,10900
1992,Bangladesh,11400
1993,Bangladesh,12000
1994,Bangladesh,12500
1995,Bangladesh,12800
1996,Bangladesh,13000
1997,Bangladesh,13100
1998,Bangladesh,13700
1999,Bangladesh,14400
2000,Bangladesh,15200
2001,Bangladesh,16200
2002,Bangladesh,16700
2003,Bangladesh,17600
2004,Bangladesh,18400
2005,Bangladesh,19300
2006,Bangladesh,21200
2007,Bangladesh,22100
2008,Bangladesh,23400
2009,Bangladesh,24800
1960,Belarus,
1961,Belarus,
1962,Belarus,
1963,Belarus,
1964,Belarus,
1965,Belarus,
1966,Belarus,
1967,Belarus,
1968,Belarus,
1969,Belarus,
1970,Belarus,
1971,Belarus,
1972,Belarus,
1973,Belarus,
1974,Belarus,
1975,Belarus,
1976,Belarus,
1977,Belarus,
1978,Belarus,
1979,Belarus,
1980,Belarus,
1981,Belarus,
1982,Belarus,
1983,Belarus,
1984,Belarus,
1985,Belarus,
1986,Belarus,
1987,Belarus,
1988,Belarus,
1989,Belarus,
1990,Belarus,3340
1991,Belarus,3480
1992,Belarus,3500
1993,Belarus,3220
1994,Belarus,3450
1995,Belarus,3320
1996,Belarus,3330
1997,Belarus,3320
1998,Belarus,3190
1999,Belarus,3510
2000,Belarus,3520
2001,Belarus,3600
2002,Belarus,3680
2003,Belarus,3580
2004,Belarus,3630
2005,Belarus,3810
2006,Belarus,3920
2007,Belarus,4010
2008,Belarus,4030
2009,Belarus,4050
1960,Belgium,14000
1961,Belgium,13400
1962,Belgium,13200
1963,Belgium,13400
1964,Belgium,13300
1965,Belgium,12400
1966,Belgium,10900
1967,Belgium,10300
1968,Belgium,9270
1969,Belgium,8260
1970,Belgium,7120
1971,Belgium,6850
1972,Belgium,6570
1973,Belgium,6510
1974,Belgium,6160
1975,Belgium,7970
1976,Belgium,8680
1977,Belgium,9060
1978,Belgium,8280
1979,Belgium,7620
1980,Belgium,8090
1981,Belgium,8180
1982,Belgium,9070
1983,Belgium,11000
1984,Belgium,12100
1985,Belgium,14000
1986,Belgium,14700
1987,Belgium,14500
1988,Belgium,13400
1989,Belgium,13000
1990,Belgium,13100
1991,Belgium,13000
1992,Belgium,12700
1993,Belgium,12100
1994,Belgium,11600
1995,Belgium,11900
1996,Belgium,12400
1997,Belgium,13400
1998,Belgium,13100
1999,Belgium,13900
2000,Belgium,13700
2001,Belgium,13300
2002,Belgium,13500
2003,Belgium,13700
2004,Belgium,13800
2005,Belgium,13900
2006,Belgium,13800
2007,Belgium,14400
2008,Belgium,14500
2009,Belgium,15300
2010,Belgium,15400
1960,Benin,
1961,Benin,
1962,Benin,
1963,Benin,
1964,Benin,
1965,Benin,
1966,Benin,
1967,Benin,
1968,Benin,
1969,Benin,
1970,Benin,
1971,Benin,1000
1972,Benin,1020
1973,Benin,1040
1974,Benin,1060
1975,Benin,1090
1976,Benin,1110
1977,Benin,1130
1978,Benin,1160
1979,Benin,1180
1980,Benin,1210
1981,Benin,1460
1982,Benin,1500
1983,Benin,1330
1984,Benin,1340
1985,Benin,1700
1986,Benin,1780
1987,Benin,1760
1988,Benin,1730
1989,Benin,1720
1990,Benin,1770
1991,Benin,1800
1992,Benin,1780
1993,Benin,1840
1994,Benin,1850
1995,Benin,1850
1996,Benin,1920
1997,Benin,1890
1998,Benin,1850
1999,Benin,1790
2000,Benin,1450
2001,Benin,1490
2002,Benin,1550
2003,Benin,1580
2004,Benin,1620
2005,Benin,1670
2006,Benin,1830
2007,Benin,1890
2008,Benin,1940
2009,Benin,2000
1960,Bolivia,
1961,Bolivia,
1962,Bolivia,
1963,Bolivia,
1964,Bolivia,
1965,Bolivia,
1966,Bolivia,
1967,Bolivia,
1968,Bolivia,
1969,Bolivia,
1970,Bolivia,
1971,Bolivia,2300
1972,Bolivia,3790
1973,Bolivia,4570
1974,Bolivia,4460
1975,Bolivia,4270
1976,Bolivia,4370
1977,Bolivia,4170
1978,Bolivia,4040
1979,Bolivia,3960
1980,Bolivia,4370
1981,Bolivia,4510
1982,Bolivia,4720
1983,Bolivia,4810
1984,Bolivia,4750
1985,Bolivia,4730
1986,Bolivia,4650
1987,Bolivia,4430
1988,Bolivia,4630
1989,Bolivia,4750
1990,Bolivia,4920
1991,Bolivia,5050
1992,Bolivia,5060
1993,Bolivia,5150
1994,Bolivia,5570
1995,Bolivia,5770
1996,Bolivia,5940
1997,Bolivia,5800
1998,Bolivia,5990
1999,Bolivia,5190
2000,Bolivia,5540
2001,Bolivia,6230
2002,Bolivia,7050
2003,Bolivia,8050
2004,Bolivia,10800
2005,Bolivia,13900
2006,Bolivia,14700
2007,Bolivia,15500
2008,Bolivia,16200
2009,Bolivia,14200
1960,Bosnia and Herzegovina,
1961,Bosnia and Herzegovina,
1962,Bosnia and Herzegovina,
1963,Bosnia and Herzegovina,
1964,Bosnia and Herzegovina,
1965,Bosnia and Herzegovina,
1966,Bosnia and Herzegovina,
1967,Bosnia and Herzegovina,
1968,Bosnia and Herzegovina,
1969,Bosnia and Herzegovina,
1970,Bosnia and Herzegovina,
1971,Bosnia and Herzegovina,
1972,Bosnia and Herzegovina,
1973,Bosnia and Herzegovina,
1974,Bosnia and Herzegovina,
1975,Bosnia and Herzegovina,
1976,Bosnia and Herzegovina,
1977,Bosnia and Herzegovina,
1978,Bosnia and Herzegovina,
1979,Bosnia and Herzegovina,
1980,Bosnia and Herzegovina,
1981,Bosnia and Herzegovina,
1982,Bosnia and Herzegovina,
1983,Bosnia and Herzegovina,
1984,Bosnia and Herzegovina,
1985,Bosnia and Herzegovina,
1986,Bosnia and Herzegovina,
1987,Bosnia and Herzegovina,
1988,Bosnia and Herzegovina,
1989,Bosnia and Herzegovina,
1990,Bosnia and Herzegovina,4600
1991,Bosnia and Herzegovina,4320
1992,Bosnia and Herzegovina,3640
1993,Bosnia and Herzegovina,3130
1994,Bosnia and Herzegovina,758
1995,Bosnia and Herzegovina,817
1996,Bosnia and Herzegovina,1110
1997,Bosnia and Herzegovina,2150
1998,Bosnia and Herzegovina,2580
1999,Bosnia and Herzegovina,2610
2000,Bosnia and Herzegovina,3080
2001,Bosnia and Herzegovina,3100
2002,Bosnia and Herzegovina,3310
2003,Bosnia and Herzegovina,3490
2004,Bosnia and Herzegovina,3590
2005,Bosnia and Herzegovina,3650
2006,Bosnia and Herzegovina,3960
2007,Bosnia and Herzegovina,3950
2008,Bosnia and Herzegovina,4350
2009,Bosnia and Herzegovina,4470
1960,Botswana,
1961,Botswana,
1962,Botswana,
1963,Botswana,
1964,Botswana,
1965,Botswana,
1966,Botswana,
1967,Botswana,
1968,Botswana,
1969,Botswana,
1970,Botswana,
1971,Botswana,
1972,Botswana,
1973,Botswana,
1974,Botswana,
1975,Botswana,
1976,Botswana,
1977,Botswana,
1978,Botswana,
1979,Botswana,
1980,Botswana,
1981,Botswana,604
1982,Botswana,638
1983,Botswana,638
1984,Botswana,651
1985,Botswana,692
1986,Botswana,739
1987,Botswana,726
1988,Botswana,868
1989,Botswana,915
1990,Botswana,911
1991,Botswana,936
1992,Botswana,1040
1993,Botswana,1050
1994,Botswana,1070
1995,Botswana,1060
1996,Botswana,973
1997,Botswana,992
1998,Botswana,1120
1999,Botswana,1130
2000,Botswana,1130
2001,Botswana,1120
2002,Botswana,1120
2003,Botswana,1030
2004,Botswana,1020
2005,Botswana,1060
2006,Botswana,1060
2007,Botswana,979
2008,Botswana,1040
2009,Botswana,938
1960,Brazil,
1961,Brazil,
1962,Brazil,
1963,Brazil,
1964,Brazil,
1965,Brazil,
1966,Brazil,
1967,Brazil,
1968,Brazil,
1969,Brazil,
1970,Brazil,
1971,Brazil,49100
1972,Brazil,50400
1973,Brazil,51200
1974,Brazil,53600
1975,Brazil,53900
1976,Brazil,54200
1977,Brazil,55900
1978,Brazil,57200
1979,Brazil,60600
1980,Brazil,64400
1981,Brazil,66500
1982,Brazil,71100
1983,Brazil,80100
1984,Brazil,94100
1985,Brazil,102000
1986,Brazil,102000
1987,Brazil,106000
1988,Brazil,105000
1989,Brazil,108000
1990,Brazil,104000
1991,Brazil,105000
1992,Brazil,105000
1993,Brazil,106000
1994,Brazil,111000
1995,Brazil,112000
1996,Brazil,119000
1997,Brazil,126000
1998,Brazil,134000
1999,Brazil,142000
2000,Brazil,148000
2001,Brazil,152000
2002,Brazil,167000
2003,Brazil,178000
2004,Brazil,183000
2005,Brazil,195000
2006,Brazil,207000
2007,Brazil,216000
2008,Brazil,228000
2009,Brazil,230000
1960,Brunei,
1961,Brunei,
1962,Brunei,
1963,Brunei,
1964,Brunei,
1965,Brunei,
1966,Brunei,
1967,Brunei,
1968,Brunei,
1969,Brunei,
1970,Brunei,
1971,Brunei,6650
1972,Brunei,9350
1973,Brunei,13200
1974,Brunei,13600
1975,Brunei,14300
1976,Brunei,17700
1977,Brunei,18900
1978,Brunei,18900
1979,Brunei,20300
1980,Brunei,21100
1981,Brunei,16700
1982,Brunei,17000
1983,Brunei,17200
1984,Brunei,16400
1985,Brunei,16100
1986,Brunei,15600
1987,Brunei,15500
1988,Brunei,15200
1989,Brunei,15300
1990,Brunei,15600
1991,Brunei,16400
1992,Brunei,17500
1993,Brunei,17200
1994,Brunei,17600
1995,Brunei,18200
1996,Brunei,17700
1997,Brunei,17600
1998,Brunei,17000
1999,Brunei,18600
2000,Brunei,19700
2001,Brunei,19900
2002,Brunei,20300
2003,Brunei,21200
2004,Brunei,20800
2005,Brunei,21100
2006,Brunei,22300
2007,Brunei,20800
2008,Brunei,21100
2009,Brunei,18900
1960,Bulgaria,
1961,Bulgaria,
1962,Bulgaria,
1963,Bulgaria,
1964,Bulgaria,
1965,Bulgaria,
1966,Bulgaria,
1967,Bulgaria,
1968,Bulgaria,
1969,Bulgaria,
1970,Bulgaria,
1971,Bulgaria,5710
1972,Bulgaria,5600
1973,Bulgaria,5470
1974,Bulgaria,5150
1975,Bulgaria,6140
1976,Bulgaria,6360
1977,Bulgaria,6560
1978,Bulgaria,6730
1979,Bulgaria,7320
1980,Bulgaria,7740
1981,Bulgaria,8530
1982,Bulgaria,9360
1983,Bulgaria,9650
1984,Bulgaria,9940
1985,Bulgaria,9530
1986,Bulgaria,9880
1987,Bulgaria,10000
1988,Bulgaria,10500
1989,Bulgaria,10100
1990,Bulgaria,9610
1991,Bulgaria,8500
1992,Bulgaria,8830
1993,Bulgaria,9280
1994,Bulgaria,9420
1995,Bulgaria,10300
1996,Bulgaria,10700
1997,Bulgaria,10200
1998,Bulgaria,10200
1999,Bulgaria,9160
2000,Bulgaria,9920
2001,Bulgaria,10400
2002,Bulgaria,10700
2003,Bulgaria,10200
2004,Bulgaria,10300
2005,Bulgaria,10700
2006,Bulgaria,11000
2007,Bulgaria,9970
2008,Bulgaria,10200
2009,Bulgaria,9830
1960,Cambodia,
1961,Cambodia,
1962,Cambodia,
1963,Cambodia,
1964,Cambodia,
1965,Cambodia,
1966,Cambodia,
1967,Cambodia,
1968,Cambodia,
1969,Cambodia,
1970,Cambodia,
1971,Cambodia,
1972,Cambodia,
1973,Cambodia,
1974,Cambodia,
1975,Cambodia,
1976,Cambodia,
1977,Cambodia,
1978,Cambodia,
1979,Cambodia,
1980,Cambodia,
1981,Cambodia,
1982,Cambodia,
1983,Cambodia,
1984,Cambodia,
1985,Cambodia,
1986,Cambodia,
1987,Cambodia,
1988,Cambodia,
1989,Cambodia,
1990,Cambodia,
1991,Cambodia,
1992,Cambodia,
1993,Cambodia,
1994,Cambodia,
1995,Cambodia,2900
1996,Cambodia,2960
1997,Cambodia,3020
1998,Cambodia,3080
1999,Cambodia,3140
2000,Cambodia,3200
2001,Cambodia,3260
2002,Cambodia,3320
2003,Cambodia,3370
2004,Cambodia,3420
2005,Cambodia,3480
2006,Cambodia,3540
2007,Cambodia,3590
2008,Cambodia,3610
2009,Cambodia,3670
1960,Cameroon,
1961,Cameroon,
1962,Cameroon,
1963,Cameroon,
1964,Cameroon,
1965,Cameroon,
1966,Cameroon,
1967,Cameroon,
1968,Cameroon,
1969,Cameroon,
1970,Cameroon,
1971,Cameroon,2450
1972,Cameroon,2500
1973,Cameroon,2550
1974,Cameroon,2620
1975,Cameroon,2690
1976,Cameroon,2760
1977,Cameroon,2870
1978,Cameroon,3430
1979,Cameroon,5030
1980,Cameroon,6710
1981,Cameroon,8070
1982,Cameroon,9050
1983,Cameroon,9370
1984,Cameroon,12400
1985,Cameroon,12500
1986,Cameroon,12400
1987,Cameroon,12600
1988,Cameroon,12000
1989,Cameroon,11600
1990,Cameroon,11000
1991,Cameroon,10700
1992,Cameroon,10800
1993,Cameroon,10500
1994,Cameroon,10500
1995,Cameroon,9800
1996,Cameroon,10300
1997,Cameroon,10900
1998,Cameroon,11300
1999,Cameroon,11000
2000,Cameroon,11100
2001,Cameroon,10700
2002,Cameroon,11000
2003,Cameroon,10900
2004,Cameroon,10800
2005,Cameroon,10500
2006,Cameroon,10300
2007,Cameroon,9250
2008,Cameroon,9300
2009,Cameroon,8850
1960,Canada,57100
1961,Canada,64300
1962,Canada,74200
1963,Canada,78900
1964,Canada,85300
1965,Canada,89700
1966,Canada,96800
1967,Canada,104000
1968,Canada,113000
1969,Canada,126000
1970,Canada,145000
1971,Canada,156000
1972,Canada,177000
1973,Canada,198000
1974,Canada,192000
1975,Canada,188000
1976,Canada,182000
1977,Canada,190000
1978,Canada,191000
1979,Canada,210000
1980,Canada,207000
1981,Canada,201000
1982,Canada,203000
1983,Canada,207000
1984,Canada,229000
1985,Canada,241000
1986,Canada,240000
1987,Canada,253000
1988,Canada,273000
1989,Canada,274000
1990,Canada,274000
1991,Canada,285000
1992,Canada,294000
1993,Canada,316000
1994,Canada,339000
1995,Canada,349000
1996,Canada,358000
1997,Canada,365000
1998,Canada,365000
1999,Canada,364000
2000,Canada,373000
2001,Canada,377000
2002,Canada,384000
2003,Canada,386000
2004,Canada,398000
2005,Canada,401000
2006,Canada,411000
2007,Canada,416000
2008,Canada,406000
2009,Canada,390000
2010,Canada,396000
1960,Chile,
1961,Chile,
1962,Chile,
1963,Chile,
1964,Chile,
1965,Chile,
1966,Chile,
1967,Chile,
1968,Chile,
1969,Chile,
1970,Chile,
1971,Chile,5340
1972,Chile,5410
1973,Chile,5080
1974,Chile,5100
1975,Chile,4980
1976,Chile,5180
1977,Chile,5270
1978,Chile,5310
1979,Chile,5020
1980,Chile,5800
1981,Chile,6210
1982,Chile,6350
1983,Chile,6490
1984,Chile,6750
1985,Chile,6810
1986,Chile,7010
1987,Chile,7070
1988,Chile,7250
1989,Chile,7440
1990,Chile,7470
1991,Chile,7890
1992,Chile,8180
1993,Chile,7780
1994,Chile,7860
1995,Chile,7850
1996,Chile,7870
1997,Chile,7910
1998,Chile,7650
1999,Chile,7500
2000,Chile,8120
2001,Chile,8610
2002,Chile,8600
2003,Chile,8100
2004,Chile,8080
2005,Chile,8870
2006,Chile,9160
2007,Chile,8500
2008,Chile,9060
2009,Chile,9300
2010,Chile,9560
1960,China,
1961,China,
1962,China,
1963,China,
1964,China,
1965,China,
1966,China,
1967,China,
1968,China,
1969,China,
1970,China,
1971,China,394000
1972,China,415000
1973,China,431000
1974,China,446000
1975,China,497000
1976,China,512000
1977,China,556000
1978,China,604000
1979,China,619000
1980,China,616000
1981,China,612000
1982,China,638000
1983,China,669000
1984,China,717000
1985,China,744000
1986,China,763000
1987,China,786000
1988,China,817000
1989,China,859000
1990,China,886000
1991,China,895000
1992,China,912000
1993,China,941000
1994,China,992000
1995,China,1070000
1996,China,1100000
1997,China,1100000
1998,China,1090000
1999,China,1060000
2000,China,1060000
2001,China,1090000
2002,China,1170000
2003,China,1320000
2004,China,1490000
2005,China,1620000
2006,China,1730000
2007,China,1820000
2008,China,1990000
2009,China,2090000
1960,Colombia,
1961,Colombia,
1962,Colombia,
1963,Colombia,
1964,Colombia,
1965,Colombia,
1966,Colombia,
1967,Colombia,
1968,Colombia,
1969,Colombia,
1970,Colombia,
1971,Colombia,19400
1972,Colombia,18200
1973,Colombia,17200
1974,Colombia,16900
1975,Colombia,17100
1976,Colombia,16700
1977,Colombia,16700
1978,Colombia,17500
1979,Colombia,17600
1980,Colombia,17700
1981,Colombia,18500
1982,Colombia,19600
1983,Colombia,20600
1984,Colombia,22700
1985,Colombia,24900
1986,Colombia,32900
1987,Colombia,39600
1988,Colombia,40200
1989,Colombia,44100
1990,Colombia,48200
1991,Colombia,46600
1992,Colombia,48400
1993,Colombia,49400
1994,Colombia,51300
1995,Colombia,60100
1996,Colombia,65700
1997,Colombia,67600
1998,Colombia,73600
1999,Colombia,76500
2000,Colombia,73300
2001,Colombia,73000
2002,Colombia,69100
2003,Colombia,74300
2004,Colombia,76200
2005,Colombia,79500
2006,Colombia,84600
2007,Colombia,87600
2008,Colombia,93600
2009,Colombia,99200
1960,Congo Dem. Rep.,
1961,Congo Dem. Rep.,
1962,Congo Dem. Rep.,
1963,Congo Dem. Rep.,
1964,Congo Dem. Rep.,
1965,Congo Dem. Rep.,
1966,Congo Dem. Rep.,
1967,Congo Dem. Rep.,
1968,Congo Dem. Rep.,
1969,Congo Dem. Rep.,
1970,Congo Dem. Rep.,
1971,Congo Dem. Rep.,5930
1972,Congo Dem. Rep.,6090
1973,Congo Dem. Rep.,6280
1974,Congo Dem. Rep.,6410
1975,Congo Dem. Rep.,6640
1976,Congo Dem. Rep.,8060
1977,Congo Dem. Rep.,8160
1978,Congo Dem. Rep.,8110
1979,Congo Dem. Rep.,8450
1980,Congo Dem. Rep.,8580
1981,Congo Dem. Rep.,8940
1982,Congo Dem. Rep.,9260
1983,Congo Dem. Rep.,9660
1984,Congo Dem. Rep.,10300
1985,Congo Dem. Rep.,10700
1986,Congo Dem. Rep.,10900
1987,Congo Dem. Rep.,11100
1988,Congo Dem. Rep.,11400
1989,Congo Dem. Rep.,11700
1990,Congo Dem. Rep.,12000
1991,Congo Dem. Rep.,12200
1992,Congo Dem. Rep.,12500
1993,Congo Dem. Rep.,12700
1994,Congo Dem. Rep.,13100
1995,Congo Dem. Rep.,13700
1996,Congo Dem. Rep.,14200
1997,Congo Dem. Rep.,14400
1998,Congo Dem. Rep.,14700
1999,Congo Dem. Rep.,15100
2000,Congo Dem. Rep.,17500
2001,Congo Dem. Rep.,18200
2002,Congo Dem. Rep.,18700
2003,Congo Dem. Rep.,19400
2004,Congo Dem. Rep.,20200
2005,Congo Dem. Rep.,20800
2006,Congo Dem. Rep.,21400
2007,Congo Dem. Rep.,22100
2008,Congo Dem. Rep.,22700
2009,Congo Dem. Rep.,23400
1960,Congo Rep.,
1961,Congo Rep.,
1962,Congo Rep.,
1963,Congo Rep.,
1964,Congo Rep.,
1965,Congo Rep.,
1966,Congo Rep.,
1967,Congo Rep.,
1968,Congo Rep.,
1969,Congo Rep.,
1970,Congo Rep.,
1971,Congo Rep.,335
1972,Congo Rep.,672
1973,Congo Rep.,2440
1974,Congo Rep.,2860
1975,Congo Rep.,2220
1976,Congo Rep.,2510
1977,Congo Rep.,2250
1978,Congo Rep.,2880
1979,Congo Rep.,3230
1980,Congo Rep.,3820
1981,Congo Rep.,4600
1982,Congo Rep.,5140
1983,Congo Rep.,5870
1984,Congo Rep.,6540
1985,Congo Rep.,6410
1986,Congo Rep.,6550
1987,Congo Rep.,6940
1988,Congo Rep.,7690
1989,Congo Rep.,8670
1990,Congo Rep.,8750
1991,Congo Rep.,8780
1992,Congo Rep.,9390
1993,Congo Rep.,10300
1994,Congo Rep.,9810
1995,Congo Rep.,10100
1996,Congo Rep.,11200
1997,Congo Rep.,12500
1998,Congo Rep.,13700
1999,Congo Rep.,14600
2000,Congo Rep.,14600
2001,Congo Rep.,13600
2002,Congo Rep.,13100
2003,Congo Rep.,12100
2004,Congo Rep.,12500
2005,Congo Rep.,13600
2006,Congo Rep.,15400
2007,Congo Rep.,12500
2008,Congo Rep.,13300
2009,Congo Rep.,15300
1960,Costa Rica,
1961,Costa Rica,
1962,Costa Rica,
1963,Costa Rica,
1964,Costa Rica,
1965,Costa Rica,
1966,Costa Rica,
1967,Costa Rica,
1968,Costa Rica,
1969,Costa Rica,
1970,Costa Rica,
1971,Costa Rica,663
1972,Costa Rica,681
1973,Costa Rica,685
1974,Costa Rica,692
1975,Costa Rica,700
1976,Costa Rica,719
1977,Costa Rica,694
1978,Costa Rica,718
1979,Costa Rica,736
1980,Costa Rica,767
1981,Costa Rica,784
1982,Costa Rica,790
1983,Costa Rica,832
1984,Costa Rica,994
1985,Costa Rica,1000
1986,Costa Rica,987
1987,Costa Rica,1010
1988,Costa Rica,1010
1989,Costa Rica,994
1990,Costa Rica,1030
1991,Costa Rica,1060
1992,Costa Rica,1280
1993,Costa Rica,974
1994,Costa Rica,975
1995,Costa Rica,962
1996,Costa Rica,994
1997,Costa Rica,1030
1998,Costa Rica,953
1999,Costa Rica,1110
2000,Costa Rica,1280
2001,Costa Rica,1270
2002,Costa Rica,1410
2003,Costa Rica,1440
2004,Costa Rica,2090
2005,Costa Rica,2310
2006,Costa Rica,2520
2007,Costa Rica,2760
2008,Costa Rica,2670
2009,Costa Rica,2710
1960,Cote d'Ivoire,
1961,Cote d'Ivoire,
1962,Cote d'Ivoire,
1963,Cote d'Ivoire,
1964,Cote d'Ivoire,
1965,Cote d'Ivoire,
1966,Cote d'Ivoire,
1967,Cote d'Ivoire,
1968,Cote d'Ivoire,
1969,Cote d'Ivoire,
1970,Cote d'Ivoire,
1971,Cote d'Ivoire,1640
1972,Cote d'Ivoire,1700
1973,Cote d'Ivoire,1760
1974,Cote d'Ivoire,1830
1975,Cote d'Ivoire,1900
1976,Cote d'Ivoire,1960
1977,Cote d'Ivoire,2020
1978,Cote d'Ivoire,2090
1979,Cote d'Ivoire,2210
1980,Cote d'Ivoire,2420
1981,Cote d'Ivoire,2850
1982,Cote d'Ivoire,3300
1983,Cote d'Ivoire,3600
1984,Cote d'Ivoire,3620
1985,Cote d'Ivoire,3800
1986,Cote d'Ivoire,3820
1987,Cote d'Ivoire,3750
1988,Cote d'Ivoire,3590
1989,Cote d'Ivoire,3310
1990,Cote d'Ivoire,3380
1991,Cote d'Ivoire,3460
1992,Cote d'Ivoire,3790
1993,Cote d'Ivoire,3930
1994,Cote d'Ivoire,4050
1995,Cote d'Ivoire,4250
1996,Cote d'Ivoire,5160
1997,Cote d'Ivoire,5440
1998,Cote d'Ivoire,5410
1999,Cote d'Ivoire,6030
2000,Cote d'Ivoire,6010
2001,Cote d'Ivoire,5970
2002,Cote d'Ivoire,6530
2003,Cote d'Ivoire,6780
2004,Cote d'Ivoire,9550
2005,Cote d'Ivoire,10600
2006,Cote d'Ivoire,11900
2007,Cote d'Ivoire,11500
2008,Cote d'Ivoire,11400
2009,Cote d'Ivoire,11900
1960,Croatia,
1961,Croatia,
1962,Croatia,
1963,Croatia,
1964,Croatia,
1965,Croatia,
1966,Croatia,
1967,Croatia,
1968,Croatia,
1969,Croatia,
1970,Croatia,
1971,Croatia,
1972,Croatia,
1973,Croatia,
1974,Croatia,
1975,Croatia,
1976,Croatia,
1977,Croatia,
1978,Croatia,
1979,Croatia,
1980,Croatia,
1981,Croatia,
1982,Croatia,
1983,Croatia,
1984,Croatia,
1985,Croatia,
1986,Croatia,
1987,Croatia,
1988,Croatia,
1989,Croatia,
1990,Croatia,5130
1991,Croatia,4800
1992,Croatia,4340
1993,Croatia,4550
1994,Croatia,4080
1995,Croatia,4180
1996,Croatia,4240
1997,Croatia,4120
1998,Croatia,4020
1999,Croatia,3600
2000,Croatia,3580
2001,Croatia,3750
2002,Croatia,3710
2003,Croatia,3750
2004,Croatia,3880
2005,Croatia,3810
2006,Croatia,4150
2007,Croatia,4060
2008,Croatia,3960
2009,Croatia,4070
1960,Cuba,
1961,Cuba,
1962,Cuba,
1963,Cuba,
1964,Cuba,
1965,Cuba,
1966,Cuba,
1967,Cuba,
1968,Cuba,
1969,Cuba,
1970,Cuba,
1971,Cuba,5350
1972,Cuba,5030
1973,Cuba,5300
1974,Cuba,5490
1975,Cuba,5570
1976,Cuba,5600
1977,Cuba,6060
1978,Cuba,6590
1979,Cuba,6840
1980,Cuba,6520
1981,Cuba,6560
1982,Cuba,7140
1983,Cuba,7290
1984,Cuba,7470
1985,Cuba,7420
1986,Cuba,7770
1987,Cuba,7890
1988,Cuba,8090
1989,Cuba,8670
1990,Cuba,9440
1991,Cuba,8350
1992,Cuba,8380
1993,Cuba,6550
1994,Cuba,6710
1995,Cuba,6190
1996,Cuba,6670
1997,Cuba,6530
1998,Cuba,6070
1999,Cuba,6910
2000,Cuba,7910
2001,Cuba,8160
2002,Cuba,8210
2003,Cuba,8020
2004,Cuba,7480
2005,Cuba,6290
2006,Cuba,5980
2007,Cuba,5810
2008,Cuba,5700
2009,Cuba,5570
1960,Cyprus,
1961,Cyprus,
1962,Cyprus,
1963,Cyprus,
1964,Cyprus,
1965,Cyprus,
1966,Cyprus,
1967,Cyprus,
1968,Cyprus,
1969,Cyprus,
1970,Cyprus,
1971,Cyprus,9.12
1972,Cyprus,9.12
1973,Cyprus,9.12
1974,Cyprus,4.11
1975,Cyprus,6.26
